phase	name	exit	tally	script_errors	verdict	sha256	command
kit	arena_kit	1	FAIL 78/83 first=FAIL regression/every_arena_digest_equals_the_recorded_baseline: expected true, got ["medina 6509e6840832 != c9a95f223040", "carioca 3537ba272bad != b9fd7eda1899", "aurora 8807b899fc52 != 780054269d9e", "egeo c2ee0083a1e8 != ae7aee398b8d"]	0	red(exit=1),red(FAIL 78/83 first=FAIL regression/every_arena_digest_equals_the_recorded_baseline: expected true, got ["medina 6509e6840832 != c9a95f223040", "carioca 3537ba272bad != b9fd7eda1899", "aurora 8807b899fc52 != 780054269d9e", "egeo c2ee0083a1e8 != ae7aee398b8d"])	a233308713f8d4fbaab72704ec4548ab7eddca16ab9d62c847e410c9b7c05894	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot/ --script res://tests/arena_kit_test.gd
kit	diff_torii	0		0	green	76c303038881790a8febaec8159fc1a402f0272aa1511cf0e3d25b334dcc25df	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot/ --script /Users/lucafantini/Desktop/Personal/Padel-3D/steam-circuit-padel-godot/run/tmp/arena-kit/baseline_probe.gd -- --diff=torii
baseline	pristine_digest	0		0	green	69e9d6031a113396f4f8e0dd4a13bf31ec832cf47f98f9eca769714fe482bf78	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script /Users/lucafantini/Desktop/Personal/Padel-3D/steam-circuit-padel-godot/run/tmp/arena-kit/baseline_probe.gd
kit	arena_kit	0	PASS 83/83	0	green	93e46bafc40cf055209626d4e671f939a3bab683f114580c62f73caac3893bd6	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot/ --script res://tests/arena_kit_test.gd
before	frame	0	PASS 14/14	0	green	c21d0aa27b09c2625bad92c4ed46f42c0fd60c0dd5d87dc365d4f7c3349d44eb	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/world_arenas_frame_test.gd
before	selection	0	PASS 18/18	12	green,red(12 SCRIPT ERROR)	2712a681e6eafb34fad648f4e19c56f0ce9f4f2e3c64fac2a12c1b5f798d0205	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/world_arenas_selection_test.gd
before	selection_demo	0	PASS 8/8	0	green	ed588118566d16e1c772c23ef1bcae27e1686b2e5b395fe55cb988de85749b9d	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/world_arenas_selection_test.gd -- --demo
before	screen_audit	1	FAIL 178/180	0	red(exit=1),red(FAIL 178/180)	36f19e12a035c004d72df520fc1707b3b22d99048dfa1eb01a7c9c60fc413111	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/ui/screen_arena_audit.gd
before	frame	0	PASS 14/14	0	green	c21d0aa27b09c2625bad92c4ed46f42c0fd60c0dd5d87dc365d4f7c3349d44eb	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/world_arenas_frame_test.gd
before	selection	0	PASS 18/18	12	green,red(12 SCRIPT ERROR)	631d3f1776151817e2a54ed669b48570f62e1fcc413cea7449bb0180048497e8	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/world_arenas_selection_test.gd
before	selection_demo	0	PASS 8/8	0	green	0fc3e68c0eb834168ab4003ae2bf5aff71d8570455bb2a42106aa356d4bf3c2c	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/world_arenas_selection_test.gd -- --demo
before	screen_audit	1	FAIL 178/180	0	red(exit=1),red(FAIL 178/180)	8947133cefc9c6f99bc42e75e54f6dc3db64e914079ee756bd0cfaa0022a5a74	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/ui/screen_arena_audit.gd
after	slice_full	1	FAIL 344/345	0	red(exit=1),red(FAIL 344/345)	657639445cd255482badcb6aada7b7287b9a5a99ca009564bd471ae7eb25c879	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/game_slice_test.gd
after	slice_demo	1	FAIL 295/296	0	red(exit=1),red(FAIL 295/296)	cffcbc069cef30e5c3ebc864b766d494423d2ae36d29f4b84def3e7c98d344a0	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/game_slice_test.gd -- --demo
after	field_law	0	PASS 88/88	0	green	5e59eb6aea4867bdf332c333928d93cb4a22e0c918c511c418b8a34a070bc93c	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/world_arenas_field_law_test.gd
after	frame	0	PASS 14/14	0	green	c21d0aa27b09c2625bad92c4ed46f42c0fd60c0dd5d87dc365d4f7c3349d44eb	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/world_arenas_frame_test.gd
after	selection	0	PASS 18/18	0	green	7b1ecff87c315d10ac8aafd076528a33ab546bf00384a531187d29ad10b46b18	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/world_arenas_selection_test.gd
after	selection_demo	0	PASS 8/8	0	green	0fc3e68c0eb834168ab4003ae2bf5aff71d8570455bb2a42106aa356d4bf3c2c	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/world_arenas_selection_test.gd -- --demo
after	selector_contract	0	PASS 30/30	0	green	3296424550001485fd038b6a5d59a03c8fd7343b1b62d3232318eb448da5643c	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/ui/arena_selector_contract_test.gd
after	screen_audit	0	PASS 180/180	0	green	f2210d9b148df581b03028c3e670f0d19643e3890bc707ab4ed03951228d7310	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/ui/screen_arena_audit.gd
before_warm	import	0		0	green,red(no PASS tally)	911ad0ab2bec48e46c232069f01067b572777240885a5f7653a0e6893bcb0ff7	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --import
before_warm	screen_audit	0	PASS 180/180	0	green	f2210d9b148df581b03028c3e670f0d19643e3890bc707ab4ed03951228d7310	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/ui/screen_arena_audit.gd
before_warm	selection	0	PASS 18/18	0	green	1571c554ea2b3dcfb76e434aba5cde5e829ca9d246f9d7757ef35a4a86241e1c	/Applications/Godot.app/Contents/MacOS/Godot --headless --path run/tmp/arena-kit/pristine --script res://tests/world_arenas_selection_test.gd
pull_proof	field_law_with_pulled_glb	0	PASS 88/88	0	green	6ee0d9afdbd474c82be565c130fd23d931b44c828596c76f15884c08b14541a6	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/world_arenas_field_law_test.gd
kit	final_clean_tree	0	PASS 83/83	0	green	93e46bafc40cf055209626d4e671f939a3bab683f114580c62f73caac3893bd6	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/arena_kit_test.gd
after	selector_contract_demo	0	PASS 17/17	0	green	59e16a57461159ec9f83b49f2440216f2c440e9d829ac1897e17516ad8cf080d	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/ui/arena_selector_contract_test.gd -- --demo
kit	post_lint_cleanup	0	PASS 83/83	0	green	93e46bafc40cf055209626d4e671f939a3bab683f114580c62f73caac3893bd6	/Applications/Godot.app/Contents/MacOS/Godot --headless --path godot --script res://tests/arena_kit_test.gd
